delta_gap,linear_separability,uniformity_a,uniformity_b,alignment,top5_retrieval_acc,condition,n_total,n_train,n_test,n_cell_types,heterogeneity_entropy,seed,elapsed_sec
0.06240598060523797,0.7363674400765532,-3.5982115659790024,-3.5940742979190485,1.1329058956448466,0.16982182628062362,single_lineage_B_cell,8977,7181,1796,5,1.4009816777728343,1,4.3
0.05560196107132205,0.7154737506828193,-3.617821302426149,-3.608903633727861,0.9998971518044806,0.22717149220489977,matchedN_for_B_cell,8977,7181,1796,45,3.0679450384003757,1,4.8
0.058139495230222736,0.7447046152773312,-3.5936915257602022,-3.5881753077715,1.1130632295659935,0.16926503340757237,single_lineage_B_cell,8977,7181,1796,5,1.4009816777728343,2,4.6
0.058485756801412006,0.7580638537740052,-3.619857514722062,-3.604951171009827,0.998780159722969,0.25111358574610243,matchedN_for_B_cell,8977,7181,1796,43,3.071496174573732,2,5.0
0.07721395487015598,0.7513466042154567,-3.6331041497458965,-3.6353203431929266,1.258918716561389,0.14532459797498512,single_lineage_NK_ILC,8391,6712,1679,4,0.9110726042042877,0,4.3
0.07018370202810628,0.7111290007806401,-3.6152246063521134,-3.615627281629572,1.0126668219334836,0.2519356759976176,matchedN_for_NK_ILC,8391,6712,1679,45,3.0597796877110097,0,4.6
0.07364667570679913,0.7879639486196863,-3.6272409843525155,-3.6161436541772374,1.2429772110199933,0.14413341274568195,single_lineage_NK_ILC,8391,6712,1679,4,0.9110726042042877,1,4.3
0.06596567856123925,0.7418050528706266,-3.613120283280139,-3.6099669514336696,1.0063983774179284,0.24597974985110185,matchedN_for_NK_ILC,8391,6712,1679,45,3.064299334629266,1,4.3
0.08038304318565176,0.8088123625008871,-3.622113313438756,-3.6121998310688666,1.2456918802599326,0.14889815366289458,single_lineage_NK_ILC,8391,6712,1679,4,0.9110726042042877,2,4.0
0.0642645181089055,0.7703982151728053,-3.622240644273662,-3.617143713866404,1.0160051093265372,0.2418106015485408,matchedN_for_NK_ILC,8391,6712,1679,43,3.072088503013262,2,4.2
