delta_gap,linear_separability,uniformity_a,uniformity_b,alignment,top5_retrieval_acc,axis,condition,n_genes_requested,n_genes_actual,seed,elapsed_sec,source,information_asymmetry_index,heterogeneity_entropy,n_total,n_train,n_test,n_cell_types
0.080187638672072,0.7694566230812917,-3.343552165027347,-3.386812988937508,0.706696410894235,0.1821857862959065,,full_all_lineages,,,0,55.6,expC,,3.068815429044354,90261.0,72208.0,18053.0,45.0
0.0767976386006242,0.7716239316239316,-3.5635320825685577,-3.5585879879685023,1.0173023761191808,0.2075213675213675,,single_lineage_T_CD4,,,0,7.4,expC,,1.0738266118045654,14621.0,11696.0,2925.0,5.0
0.0547493453031523,0.6955555555555556,-3.6088736199677744,-3.6090510518118206,0.9096396810784017,0.228034188034188,,matchedN_for_T_CD4,,,0,7.3,expC,,3.0713183823320187,14621.0,11696.0,2925.0,45.0
0.111334379325003,0.7498859240427092,-3.4163614452639783,-3.432056906910527,0.9503777422507852,0.1828410689170183,,single_lineage_T_CD8,,,0,5.9,expC,,1.982209419047319,10663.0,8530.0,2133.0,9.0
0.0620243230767472,0.6924495718376524,-3.550434614127232,-3.5414311308512927,0.8494201861080739,0.2756680731364275,,matchedN_for_T_CD8,,,0,6.2,expC,,3.0539561948418195,10663.0,8530.0,2133.0,45.0
0.0775018092305291,0.7354107908918298,-3.3567266162480784,-3.3842059273038605,0.9005838964997528,0.1204274558158651,,single_lineage_Myeloid_Mono,,,0,14.9,expC,,0.3429703056143167,24328.0,19462.0,4866.0,2.0
0.063424159329316,0.7377706023602866,-3.5626583313164484,-3.5806885704688463,0.8239213892155083,0.2209206740649404,,matchedN_for_Myeloid_Mono,,,0,15.1,expC,,3.079496220921922,24328.0,19462.0,4866.0,45.0
0.0703968207553422,0.7062966593186916,-3.6040933862299274,-3.6026022137637645,1.1364947745633154,0.1586859688195991,,single_lineage_B_cell,,,0,4.7,expC,,1.4009816777728343,8977.0,7181.0,1796.0,5.0
0.0576050782319425,0.6890384742039587,-3.616580822616263,-3.606605467840706,0.9850372067786916,0.2221603563474387,,matchedN_for_B_cell,,,0,4.7,expC,,3.090627989894432,8977.0,7181.0,1796.0,45.0
0.0772139548701559,0.7513466042154567,-3.633104149745897,-3.635320343192927,1.258918716561389,0.1453245979749851,,single_lineage_NK_ILC,,,0,4.1,expC,,0.9110726042042876,8391.0,6712.0,1679.0,4.0
0.0530701934155351,0.6780853026754665,-3.634452304300109,-3.629529604266081,1.0389147125008589,0.2215604526503871,,matchedN_for_NK_ILC,,,0,4.3,expC,,3.0890168363605173,8391.0,6712.0,1679.0,45.0
