user_id,embedding_row
434626,1369
434668,1370
435140,1371
435203,1372
435659,1373
435745,1374
436565,1375
436695,1376
436972,1377
437779,1378
437840,1379
437881,1380
438044,1381
438073,1382
438696,1383
439139,1384
440178,1385
440770,1386
440905,1387
441071,1388
441381,1389
441712,1390
441967,1391
442289,1392
442500,1393
442998,1394
443193,1395
443502,1396
444066,1397
444644,1398
444767,1399
445098,1400
445689,1401
446312,1402
446352,1403
446354,1404
446593,1405
446740,1406
448591,1407
448898,1408
449232,1409
450310,1410
450762,1411
450800,1412
451037,1413
451828,1414
451847,1415
451895,1416
452239,1417
452810,1418
452834,1419
452942,1420
453703,1421
453877,1422
454752,1423
455329,1424
455658,1425
455964,1426
456484,1427
456743,1428
457526,1429
457937,1430
458514,1431
458537,1432
458543,1433
459013,1434
459209,1435
459416,1436
459505,1437
459585,1438
459851,1439
460442,1440
462174,1441
462505,1442
462787,1443
462910,1444
463987,1445
464016,1446
464706,1447
464762,1448
464982,1449
465653,1450
465706,1451
466050,1452
466058,1453
466278,1454
467259,1455
467498,1456
467898,1457
468360,1458
468389,1459
469572,1460
470105,1461
470263,1462
470304,1463
470566,1464
470895,1465
471256,1466
471585,1467
472147,1468
472212,1469
472531,1470
473165,1471
473810,1472
473821,1473
474225,1474
474590,1475
474597,1476
474681,1477
475020,1478
475321,1479
475496,1480
475859,1481
475882,1482
476931,1483
476951,1484
477167,1485
477292,1486
478703,1487
478958,1488
479199,1489
479400,1490
479407,1491
479541,1492
480775,1493
481194,1494
481602,1495
482038,1496
482421,1497
482456,1498
483182,1499
483208,1500
483376,1501
483774,1502
483982,1503
484283,1504
484864,1505
484933,1506
485424,1507
485508,1508
485513,1509
485530,1510
486245,1511
486257,1512
486594,1513
486751,1514
487160,1515
487362,1516
487598,1517
488512,1518
488933,1519
488961,1520
488969,1521
489100,1522
489103,1523
489437,1524
489626,1525
490225,1526
490583,1527
490681,1528
491497,1529
491873,1530
491951,1531
492394,1532
492442,1533
492567,1534
492951,1535
493157,1536
493209,1537
493536,1538
493694,1539
493948,1540
