app_id,row
1203041,502
1216710,503
1218920,504
1222690,505
1224940,506
1238100,507
1276040,508
1278500,509
1293900,510
1300211,511
1321580,512
1338630,513
1413660,514
1448800,515
1489110,516
1532920,517
1208260,518
1273220,519
1168680,520
1278170,521
1330470,522
1348390,523
1415420,524
1425730,525
1442160,526
1458920,527
1471530,528
1475420,529
1503670,530
1519490,531
1578357,532
1627150,533
1630580,534
1131140,535
1140660,536
1155760,537
1159030,538
1163550,539
1181770,540
1098340,541
1210340,542
1232252,543
1258480,544
1263820,545
1336560,546
1342070,547
1355650,548
1365390,549
1414000,550
1425130,551
1457510,552
1475430,553
1324000,554
1778500,555
1797973,556
1866430,557
1902820,558
1926170,559
1943370,560
44620,561
320351,562
2009860,563
1952760,564
1982490,565
2139271,566
2198872,567
2232290,568
1624830,569
1705150,570
1713870,571
1733060,572
1824010,573
1851020,574
1073320,575
1643260,576
1689810,577
1707400,578
1740660,579
1855500,580
1968340,581
1198060,582
1969060,583
1969100,584
2007050,585
2053360,586
2074940,587
2091250,588
2105000,589
1250520,590
1135432,591
203766,592
1485070,593
1514860,594
1520710,595
1532800,596
1573750,597
1586840,598
809140,599
1604780,600
1614270,601
1617870,602
1652710,603
1658870,604
1737350,605
1745280,606
1791690,607
1817560,608
1832950,609
1523510,610
1537870,611
1547380,612
1594460,613
1641830,614
1642040,615
1663640,616
1714320,617
1726520,618
1436950,619
1761900,620
1840660,621
1965800,622
1969820,623
2019730,624
2085360,625
2089350,626
2091500,627
1536080,628
1574910,629
1620720,630
1665500,631
1683690,632
1685510,633
1690440,634
1694600,635
1215050,636
1709180,637
1723560,638
1734470,639
1781960,640
1798067,641
1858560,642
1861290,643
1137540,644
22430,645
38410,646
38450,647
41070,648
99612,649
112100,650
200080,651
227200,652
269310,653
287070,654
297860,655
301760,656
329650,657
335420,658
351100,659
1636840,660
986280,661
992910,662
1010750,663
1016250,664
1019310,665
1028894,666
1029630,667
1047440,668
1097710,669
1112830,670
1125910,671
1133120,672
465070,673
1144400,674
1182920,675
1191210,676
205636,677
2093320,678
2105980,679
2109610,680
2158500,681
2203060,682
2233890,683
1267540,684
1272450,685
1294060,686
1327430,687
1371400,688
1385650,689
1386620,690
1388860,691
1418230,692
557240,693
1496640,694
1549180,695
1562870,696
211160,697
1851340,698
1859360,699
2000110,700
2077590,701
2119490,702
2131350,703
2210140,704
871570,705
882790,706
909610,707
918670,708
959860,709
995770,710
1006220,711
1015720,712
1034720,713
512260,714
1034750,715
1051380,716
1065970,717
1067220,718
346470,719
447310,720
449393,721
485120,722
490930,723
518030,724
529830,725
539720,726
555060,727
559910,728
562386,729
605450,730
704010,731
769840,732
770972,733
1155660,734
797400,735
824200,736
832720,737
347213,738
797280,739
33780,740
38600,741
39550,742
204240,743
225820,744
253750,745
256190,746
261030,747
270570,748
283080,749
304350,750
308600,751
313020,752
316441,753
327740,754
346180,755
358930,756
1895130,757
1926440,758
1934990,759
1947131,760
1971260,761
1973610,762
1991850,763
2013900,764
2050050,765
2076850,766
1895300,767
1932160,768
1149550,769
1150730,770
1998750,771
1170970,772
1180900,773
1204470,774
1206720,775
1247270,776
1254860,777
1267470,778
1273260,779
1273790,780
1291330,781
1297790,782
1328920,783
1345760,784
214590,785
1367420,786
1454050,787
1464060,788
1235762,789
1497820,790
1526010,791
1529710,792
1530340,793
1545250,794
1545600,795
1571140,796
1714440,797
1174860,798
1378990,799
1714460,800
1739880,801
1825740,802
1876350,803
1941332,804
1980490,805
1983420,806
1995870,807
2157060,808
2219200,809
2266310,810
11280,811
35450,812
65300,813
73041,814
205910,815
248170,816
267772,817
270760,818
274520,819
279140,820
283940,821
316060,822
318520,823
328900,824
341090,825
358250,826
363990,827
1248432,828
513730,829
364810,830
365660,831
365890,832
400790,833
412770,834
420640,835
73093,836
1386611,837
457760,838
461360,839
479100,840
486780,841
514090,842
522040,843
538710,844
541640,845
573120,846
583640,847
589760,848
646662,849
696490,850
721340,851
777670,852
779939,853
817230,854
820900,855
839080,856
210950,857
840260,858
874460,859
941955,860
949250,861
961990,862
978630,863
1039100,864
1052690,865
1099460,866
1166600,867
1168430,868
1169100,869
1178790,870
1188080,871
1209530,872
1213910,873
1270670,874
1288560,875
285820,876
1291010,877
1300600,878
1347751,879
1365750,880
1453490,881
1458690,882
1461930,883
1503030,884
1503590,885
1511090,886
1590712,887
1608040,888
1662010,889
1728830,890
1835840,891
1888130,892
1906020,893
1939790,894
2001090,895
2095140,896
2158240,897
2158850,898
2180310,899
2185770,900
2187660,901
6810,902
7020,903
208730,904
259510,905
271900,906
681240,907
592830,908
314470,909
322660,910
338390,911
343710,912
345580,913
348360,914
355050,915
355420,916
368430,917
372800,918
374280,919
378648,920
381712,921
387984,922
391030,923
398915,924
570930,925
431640,926
433910,927
440540,928
464360,929
1199660,930
533950,931
544600,932
565120,933
572720,934
584930,935
655790,936
671600,937
698890,938
724330,939
736770,940
742500,941
786820,942
808080,943
998930,944
1003310,945
1045190,946
1065100,947
1120810,948
1148510,949
1161410,950
1178230,951
1192380,952
1286710,953
1289211,954
1290270,955
1295510,956
1298080,957
1304420,958
226960,959
1341210,960
1395850,961
1406200,962
1423760,963
1446280,964
1449510,965
1452500,966
1469170,967
1493760,968
273840,969
1511630,970
1515320,971
1546930,972
237010,973
515171,974
1454970,975
1557860,976
1557990,977
1576130,978
1589680,979
1599484,980
1630110,981
1632740,982
1647960,983
1664670,984
1666170,985
1688120,986
1707790,987
1744080,988
1762770,989
1782150,990
1092400,991
1823600,992
1866710,993
1907080,994
1910320,995
1915550,996
1937750,997
1986940,998
2106810,999
2118540,1000
2164320,1001
2260410,1002
208790,1003
237090,1004
258658,1005
262830,1006
264140,1007
287290,1008
302970,1009
305380,1010
306393,1011
752450,1012
337410,1013
401635,1014
403190,1015
435490,1016
437690,1017
438560,1018
455340,1019
512250,1020
525620,1021
530060,1022
530320,1023
461242,1024
591960,1025
603760,1026
638011,1027
665100,1028
667600,1029
725780,1030
758320,1031
792220,1032
809500,1033
812040,1034
827050,1035
846720,1036
848060,1037
862480,1038
872990,1039
897690,1040
898720,1041
913110,1042
1415530,1043
470690,1044
960040,1045
964130,1046
964350,1047
984780,1048
989790,1049
1042390,1050
1047960,1051
1057800,1052
1066180,1053
1066900,1054
411110,1055
1135260,1056
1160750,1057
1167950,1058
1210800,1059
1228520,1060
1277830,1061
1280300,1062
1287057,1063
1290090,1064
1346960,1065
1367690,1066
1410580,1067
1418847,1068
1421020,1069
1443084,1070
1444730,1071
1492360,1072
1494400,1073
1502980,1074
305186,1075
1511950,1076
1547300,1077
215005,1078
1650250,1079
1673990,1080
1726870,1081
1773060,1082
1777090,1083
1807330,1084
1905430,1085
1967690,1086
1979320,1087
1979540,1088
1992290,1089
2072990,1090
2129390,1091
2193910,1092
1500,1093
15130,1094
32150,1095
32410,1096
243000,1097
265300,1098
266110,1099
273150,1100
314030,1101
326720,1102
327560,1103
346810,1104
361930,1105
364820,1106
370150,1107
384110,1108
387340,1109
388292,1110
398000,1111
733050,1112
433170,1113
312740,1114
439250,1115
467660,1116
468920,1117
492140,1118
495720,1119
545920,1120
580940,1121
595130,1122
600990,1123
616950,1124
621220,1125
640380,1126
675240,1127
691430,1128
717250,1129
724250,1130
729370,1131
755756,1132
810470,1133
883360,1134
277739,1135
884660,1136
951662,1137
984680,1138
1011610,1139
1019550,1140
1029980,1141
1074070,1142
1080110,1143
1081450,1144
1087426,1145
1090440,1146
1105542,1147
1122100,1148
1170010,1149
1280950,1150
1286340,1151
1366570,1152
1369340,1153
1943950,1154
1413370,1155
1436590,1156
1476350,1157
1479630,1158
1486580,1159
1503790,1160
1514780,1161
1519060,1162
1525660,1163
1552130,1164
1561363,1165
1592390,1166
1635980,1167
2175250,1168
1723260,1169
1724440,1170
1725500,1171
1732740,1172
288520,1173
1235731,1174
1747830,1175
1782860,1176
1799380,1177
1812153,1178
1884390,1179
1898830,1180
1949010,1181
2020530,1182
2055220,1183
2139269,1184
2168450,1185
2175780,1186
2185930,1187
2282210,1188
2920,1189
3500,1190
3990,1191
858040,1192
33100,1193
33650,1194
212630,1195
244930,1196
251170,1197
262150,1198
283290,1199
288260,1200
302110,1201
343464,1202
360020,1203
375750,1204
388880,1205
404180,1206
460060,1207
481180,1208
497850,1209
878465,1210
1307550,1211
509250,1212
543870,1213
547850,1214
564040,1215
568320,1216
623360,1217
654990,1218
657990,1219
867240,1220
660160,1221
668590,1222
672970,1223
674750,1224
695290,1225
704910,1226
709920,1227
742300,1228
751340,1229
751490,1230
883310,1231
753930,1232
776000,1233
813450,1234
851730,1235
853200,1236
1579850,1237
904400,1238
1034910,1239
1048660,1240
1079630,1241
1101140,1242
1112890,1243
1116780,1244
1142880,1245
1143851,1246
1162430,1247
1184411,1248
1218890,1249
1237523,1250
1245590,1251
1247010,1252
1287059,1253
445680,1254
1296510,1255
1329790,1256
1330480,1257
985890,1258
1361700,1259
1381440,1260
1395720,1261
1455910,1262
1481440,1263
1510460,1264
1522950,1265
1536210,1266
1543240,1267
1546400,1268
1572340,1269
1575300,1270
1579020,1271
1591490,1272
222608,1273
1653770,1274
1698520,1275
1711181,1276
1751590,1277
1930960,1278
1934330,1279
1961250,1280
1983330,1281
1992250,1282
2111860,1283
2222750,1284
1773801,1285
258270,1286
259170,1287
260130,1288
262120,1289
284770,1290
294540,1291
298030,1292
556760,1293
303720,1294
316966,1295
318130,1296
327450,1297
331390,1298
344850,1299
355890,1300
379400,1301
401760,1302
1610720,1303
1230274,1304
401920,1305
418070,1306
441440,1307
448160,1308
460420,1309
463270,1310
466000,1311
542160,1312
548570,1313
549170,1314
560170,1315
2362380,1316
573600,1317
573832,1318
642770,1319
646470,1320
646530,1321
657690,1322
719210,1323
733210,1324
751880,1325
44650,1326
754120,1327
755950,1328
798390,1329
802860,1330
843810,1331
893180,1332
910490,1333
925460,1334
931860,1335
967288,1336
361290,1337
976500,1338
982590,1339
984180,1340
994500,1341
1002100,1342
1010820,1343
1024700,1344
1058380,1345
1512590,1346
1088290,1347
1100930,1348
1118070,1349
1148290,1350
1158270,1351
1180721,1352
1185910,1353
1211171,1354
1212410,1355
1212940,1356
1222210,1357
1235754,1358
1345740,1359
1443065,1360
1206560,1361
1349000,1362
1475840,1363
1480480,1364
1489800,1365
1508630,1366
1388770,1367
1681010,1368
1705930,1369
1716940,1370
1729610,1371
1803780,1372
1825350,1373
1826910,1374
1829592,1375
1842510,1376
1847550,1377
1867740,1378
1904650,1379
1919470,1380
1994720,1381
1107760,1382
2025320,1383
2114760,1384
2126870,1385
567240,1386
2126990,1387
2140250,1388
2152690,1389
2154970,1390
2181000,1391
2220070,1392
2250340,1393
27000,1394
55398,1395
57690,1396
204340,1397
215690,1398
225824,1399
240360,1400
249650,1401
259060,1402
277430,1403
573040,1404
284460,1405
285380,1406
322190,1407
347950,1408
360620,1409
404590,1410
415670,1411
426690,1412
445991,1413
471650,1414
486510,1415
517780,1416
552160,1417
556060,1418
563200,1419
898340,1420
913160,1421
574090,1422
608120,1423
613190,1424
628050,1425
655080,1426
661990,1427
703730,1428
730261,1429
744750,1430
760720,1431
765810,1432
787040,1433
801750,1434
814740,1435
838410,1436
873870,1437
892830,1438
896750,1439
920200,1440
931500,1441
941570,1442
949600,1443
962730,1444
970640,1445
981750,1446
1029331,1447
1037130,1448
1069760,1449
1080220,1450
1094870,1451
1126710,1452
1144410,1453
1161490,1454
1191161,1455
1192450,1456
1200230,1457
1202043,1458
1204220,1459
1205960,1460
1244781,1461
1248360,1462
1294880,1463
1295190,1464
1300920,1465
1360670,1466
1371427,1467
1373630,1468
1391530,1469
1432200,1470
1432750,1471
1453790,1472
1477950,1473
1483870,1474
1499190,1475
1521440,1476
1525720,1477
1536070,1478
1571460,1479
1580780,1480
1584690,1481
1619080,1482
1639930,1483
1684010,1484
1691970,1485
1692060,1486
1711620,1487
1771360,1488
1783200,1489
1822102,1490
1836160,1491
1924710,1492
1925870,1493
1938860,1494
1951950,1495
1967510,1496
1974220,1497
2058190,1498
2059810,1499
249085,1500
2076810,1501
2135980,1502
2216960,1503
2240110,1504
1300,1505
12770,1506
15190,1507
15560,1508
102622,1509
215374,1510
221640,1511
222597,1512
281860,1513
336770,1514
345820,1515
266840,1516
355240,1517
434210,1518
434370,1519
450750,1520
452420,1521
453690,1522
465200,1523
477730,1524
480900,1525
500245,1526
524850,1527
550331,1528
550340,1529
558370,1530
570900,1531
572050,1532
594380,1533
607400,1534
625340,1535
630890,1536
644200,1537
663370,1538
677280,1539
690370,1540
733110,1541
267655,1542
755500,1543
770200,1544
778530,1545
812160,1546
820730,1547
821890,1548
932220,1549
939960,1550
951650,1551
1922550,1552
1001140,1553
1014040,1554
1020340,1555
1037940,1556
1049850,1557
1065730,1558
1102650,1559
1133580,1560
1146690,1561
1167170,1562
1230000,1563
1230276,1564
1237524,1565
1237830,1566
1258310,1567
1258910,1568
1265220,1569
1266220,1570
1272790,1571
1293160,1572
1318750,1573
1347920,1574
1396473,1575
1464380,1576
1482910,1577
1486150,1578
1550710,1579
1621670,1580
1655960,1581
1658930,1582
1672210,1583
544710,1584
1679220,1585
1689970,1586
1721870,1587
1751202,1588
2090700,1589
2161720,1590
2222160,1591
2230170,1592
2247680,1593
3450,1594
19000,1595
21680,1596
35102,1597
38430,1598
223100,1599
235800,1600
236370,1601
252370,1602
2163330,1603
290470,1604
312680,1605
314330,1606
333110,1607
350460,1608
351320,1609
354860,1610
357800,1611
359390,1612
361843,1613
365260,1614
434460,1615
445800,1616
451600,1617
465990,1618
467620,1619
478980,1620
488760,1621
523000,1622
525040,1623
570050,1624
590390,1625
600090,1626
619810,1627
628750,1628
657200,1629
661960,1630
704710,1631
720780,1632
728930,1633
739190,1634
773580,1635
325993,1636
61710,1637
823500,1638
851800,1639
866770,1640
906300,1641
920570,1642
965820,1643
980940,1644
982290,1645
1216880,1646
987230,1647
1038300,1648
1042380,1649
1054430,1650
1065520,1651
1066630,1652
1105890,1653
1129030,1654
1163590,1655
1202050,1656
1216060,1657
1216200,1658
1240130,1659
1245370,1660
1289010,1661
1296540,1662
1356411,1663
1365110,1664
1366091,1665
1377360,1666
292712,1667
1407100,1668
1491000,1669
1507380,1670
1608400,1671
1662140,1672
1667320,1673
1711182,1674
1755870,1675
1772480,1676
1782450,1677
1837330,1678
1876830,1679
1906170,1680
1949960,1681
1952840,1682
1952930,1683
1963210,1684
252130,1685
2077650,1686
2116920,1687
2129280,1688
2136020,1689
2157340,1690
2165980,1691
2175800,1692
2193911,1693
2200570,1694
2222180,1695
1763082,1696
2237800,1697
2241860,1698
2261650,1699
2270350,1700
7800,1701
40320,1702
115200,1703
209120,1704
209790,1705
213230,1706
222571,1707
243890,1708
357890,1709
395234,1710
1890183,1711
410820,1712
438150,1713
465240,1714
477310,1715
584383,1716
612720,1717
621810,1718
621927,1719
625910,1720
646669,1721
655910,1722
670870,1723
738520,1724
740550,1725
781810,1726
800390,1727
334420,1728
866190,1729
1578780,1730
2218750,1731
869880,1732
874040,1733
878461,1734
921060,1735
965350,1736
970840,1737
991810,1738
994280,1739
1029860,1740
1047010,1741
1047640,1742
1048000,1743
1054690,1744
1067590,1745
1071100,1746
1083870,1747
1090182,1748
1214330,1749
448191,1750
1219860,1751
1231880,1752
1249880,1753
1275600,1754
1281190,1755
1336180,1756
1336430,1757
1348400,1758
1352200,1759
1354830,1760
1370170,1761
1386710,1762
58200,1763
1457630,1764
1490060,1765
1570070,1766
1580800,1767
1605320,1768
1621980,1769
1700690,1770
1739010,1771
1743080,1772
1749200,1773
1801910,1774
1804140,1775
1903730,1776
1968730,1777
1984710,1778
224145,1779
1996210,1780
2022180,1781
2051440,1782
2095060,1783
457320,1784
447410,1785
2101110,1786
2226750,1787
1700,1788
37210,1789
